epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,222.725,0.78594,7.99623,0.07535,0.01942,0.52553,0.5,0.51691,0.43471,0.77977,5.70956,0.09836,0.02554,0.00065,0.00065,0.00065
2,1260.26,0.82513,2.15564,0.07883,0.0235,0.62102,0.56511,0.60657,0.46864,0.79558,2.23843,0.09223,0.08446,0.00130363,0.00130363,0.00130363
3,1398.42,0.80577,1.23419,0.07291,0.02987,0.45804,0.4809,0.45019,0.26579,1.34199,2.39431,0.13067,0.06557,0.00194406,0.00194406,0.00194406
4,1530.86,0.93823,1.07364,0.07934,0.02738,0.57863,0.51724,0.5231,0.34005,1.12229,2.17807,0.09368,0.05211,0.0019406,0.0019406,0.0019406
5,1662.1,0.89381,0.93377,0.07042,0.02876,0.68597,0.67241,0.70736,0.48257,0.96732,1.3337,0.08269,0.10276,0.0019208,0.0019208,0.0019208
6,1789.19,0.87114,0.9056,0.0721,0.04076,0.72003,0.70951,0.73385,0.51305,0.93161,1.24541,0.09545,0.0539,0.001901,0.001901,0.001901
7,1924.8,0.8305,0.74454,0.07645,0.02916,0.83284,0.74138,0.81565,0.67032,0.68286,0.92598,0.08422,0.02153,0.0018812,0.0018812,0.0018812
8,2082.5,0.76281,0.69205,0.0708,0.02955,0.91572,0.74939,0.89849,0.77265,0.57601,0.72954,0.08591,0.04384,0.0018614,0.0018614,0.0018614
9,2206.35,0.76265,0.66629,0.07421,0.03242,0.89753,0.75515,0.90297,0.80016,0.54106,0.74617,0.08428,0.04548,0.0018416,0.0018416,0.0018416
10,2338.68,0.738,0.6296,0.07472,0.02918,0.95184,0.81034,0.93679,0.8283,0.51046,0.52544,0.07221,0.03883,0.0018218,0.0018218,0.0018218
11,2460.5,0.79856,0.57431,0.07454,0.02934,0.81861,0.85595,0.88891,0.76702,0.59237,0.62538,0.08039,0.03969,0.001802,0.001802,0.001802
12,2604.03,0.70896,0.5454,0.07071,0.02537,0.76928,0.91986,0.9106,0.77406,0.54893,0.5749,0.08246,0.01383,0.0017822,0.0017822,0.0017822
13,2749.22,0.68271,0.54825,0.06938,0.02569,0.81014,0.81034,0.85742,0.80029,0.4559,0.7713,0.08218,0.04421,0.0017624,0.0017624,0.0017624
14,2908.62,0.64236,0.53842,0.06923,0.0256,0.90765,0.91379,0.96155,0.84895,0.57634,0.42461,0.08216,0.04214,0.0017426,0.0017426,0.0017426
15,3056.22,0.63918,0.53764,0.06621,0.02154,0.8501,0.97787,0.95605,0.88575,0.43054,0.42727,0.07689,0.0237,0.0017228,0.0017228,0.0017228
16,3316.38,0.63707,0.50332,0.07419,0.01898,0.9247,0.84692,0.91123,0.81708,0.52136,0.58422,0.08064,0.03312,0.001703,0.001703,0.001703
17,3582.8,0.63583,0.49448,0.06828,0.02471,0.8898,0.86207,0.92452,0.85792,0.43416,0.53438,0.07563,0.03036,0.0016832,0.0016832,0.0016832
18,3922.73,0.63591,0.49177,0.07549,0.02222,0.96117,0.85367,0.96342,0.86956,0.47347,0.45821,0.07622,0.02384,0.0016634,0.0016634,0.0016634
19,4089.21,0.64243,0.5075,0.06944,0.02046,0.94514,0.89113,0.95882,0.89775,0.38745,0.41792,0.07916,0.01254,0.0016436,0.0016436,0.0016436
20,4313.88,0.57197,0.42359,0.07025,0.01548,0.93764,0.87931,0.96702,0.89524,0.41754,0.36714,0.07846,0.02176,0.0016238,0.0016238,0.0016238
21,4581.05,0.5905,0.40048,0.07547,0.01877,0.91456,0.92286,0.95544,0.9208,0.30932,0.3637,0.07223,0.01125,0.001604,0.001604,0.001604
22,4772.59,0.58539,0.41979,0.06637,0.0166,0.91357,0.96552,0.97974,0.91339,0.40028,0.32007,0.07176,0.0221,0.0015842,0.0015842,0.0015842
23,5052.74,0.58057,0.40982,0.07015,0.01659,0.90913,0.94828,0.96955,0.91705,0.36389,0.31684,0.07914,0.02132,0.0015644,0.0015644,0.0015644
24,5313.64,0.55075,0.42635,0.07055,0.01879,0.94419,0.87518,0.93772,0.89782,0.35797,0.4633,0.07233,0.02568,0.0015446,0.0015446,0.0015446
25,5516.92,0.53479,0.37328,0.07003,0.01991,0.87033,0.98276,0.9702,0.93367,0.31702,0.29379,0.07917,0.01797,0.0015248,0.0015248,0.0015248
26,5736.55,0.54334,0.37262,0.06742,0.01785,0.94377,0.93103,0.97712,0.90821,0.42949,0.29692,0.0794,0.01659,0.001505,0.001505,0.001505
27,6069.66,0.55953,0.38678,0.07135,0.01797,0.98147,0.91312,0.98096,0.94051,0.31371,0.27997,0.07687,0.02706,0.0014852,0.0014852,0.0014852
28,6357.71,0.56613,0.35815,0.06702,0.01885,0.92633,0.91379,0.97104,0.91012,0.35785,0.32619,0.07502,0.01179,0.0014654,0.0014654,0.0014654
29,6523.59,0.57163,0.38705,0.06772,0.02262,0.94079,0.91379,0.98029,0.91659,0.35475,0.3483,0.073,0.0069,0.0014456,0.0014456,0.0014456
30,6736.91,0.53588,0.34208,0.06219,0.0133,0.98136,0.94828,0.99063,0.93696,0.34708,0.18421,0.07144,0.01364,0.0014258,0.0014258,0.0014258
31,7001.3,0.5629,0.42987,0.07102,0.01278,0.97913,0.94828,0.9617,0.92995,0.33867,0.27407,0.07587,0.0266,0.001406,0.001406,0.001406
32,7356.76,0.51485,0.356,0.07295,0.01357,0.94521,0.89237,0.96942,0.9124,0.38625,0.33088,0.08217,0.01637,0.0013862,0.0013862,0.0013862
33,7584.8,0.56455,0.3771,0.06555,0.01983,0.95385,0.93103,0.98448,0.92821,0.3566,0.28089,0.07787,0.02269,0.0013664,0.0013664,0.0013664
34,7762.26,0.54388,0.40131,0.07314,0.01661,1,0.96858,0.99207,0.95802,0.31478,0.19889,0.07576,0.01851,0.0013466,0.0013466,0.0013466
35,7990.1,0.52631,0.34715,0.05936,0.01714,0.9654,0.9621,0.98949,0.92274,0.3826,0.20006,0.07701,0.01282,0.0013268,0.0013268,0.0013268
36,8337.64,0.4965,0.34587,0.06544,0.01626,0.93001,0.94828,0.97051,0.92892,0.30661,0.27663,0.07706,0.00896,0.001307,0.001307,0.001307
37,8509.42,0.49653,0.33235,0.06543,0.01671,0.9659,0.97678,0.99333,0.94337,0.38922,0.20558,0.07304,0.02841,0.0012872,0.0012872,0.0012872
38,8745.7,0.51654,0.35468,0.06358,0.02012,0.94549,0.94828,0.98611,0.9555,0.30236,0.2055,0.07154,0.02158,0.0012674,0.0012674,0.0012674
39,9103.74,0.51242,0.35598,0.06593,0.01676,0.93301,0.96054,0.98532,0.95116,0.30881,0.25865,0.07193,0.01053,0.0012476,0.0012476,0.0012476
40,9299.56,0.4954,0.29609,0.06725,0.01619,0.97999,0.94828,0.99246,0.96479,0.28135,0.18005,0.07607,0.00888,0.0012278,0.0012278,0.0012278
41,9503.36,0.50717,0.31002,0.06636,0.01721,0.94906,0.96552,0.98746,0.95856,0.29264,0.19765,0.08243,0.01609,0.001208,0.001208,0.001208
